-0.2357,0.58835,-0,-0,-0.24254,-0.24254,-0.24254,-0,-0,0.58835,-0.24254,-0,0.58835,0.6,-0.24254,-0.24254,-0.24254,0.6,0.58835,-0,-0.24254,0.58835,-0,-0,-0.24254,-0.24254,-0.24254,-0,-0,0.58835,-0.24254,-6.8974e-18,0.58835,0.6,-0.17408,-0.17408,-0.24254,-0.24254,0.58835,-0,-0.24254,0.58835,-0,-0,-0.24254,-0.24254,-0.24254,-0,-0,0.58835,-0.24254,-0,0.58835,0.6,-0.24254,-0.24254
0.19612,0.2357,-0,-0,0.24254,0.24254,0.24254,-0,-0,0.2357,0.2357,-0,0.24254,0.2357,0.2357,0.24254,0.2357,0.2357,0.24254,-0,0.2357,0.2357,-0,-0,0.24254,0.24254,0.24254,-0,-0,0.2357,0.2357,-3.3095e-18,0.24254,0.2357,0.1543,0.17408,0.24254,0.2357,0.2357,-0,0.2357,0.2357,-0,-0,0.24254,0.24254,0.24254,-0,-0,0.2357,0.2357,-0,0.24254,0.2357,0.2357,0.2357
0.24254,-0,-0,0.2357,0.2357,0.24254,0.2357,0.2357,-0,-0,0.2357,-0,4.7409e-30,-0,0.24254,0.24254,0.24254,-3.5193e-15,-0,-0,0.2357,-0,-0,0.2357,0.2357,0.24254,0.2357,0.2357,-0,-0,0.2357,0.2357,-0,-0,0.17408,0.17408,0.24254,0.24254,-0,-0,0.2357,-0,-0,0.2357,0.2357,0.24254,0.2357,0.2357,-0,-0,0.2357,0.2357,-0,-0,0.24254,0.24254
-0,-0,0.2357,0.2357,-0,-0,-0,0.2357,0.2357,-0,-0,0.2357,4.8609e-18,-0,-0,-0,-0,-9.2734e-24,-0,0.2357,-0,-0,0.2357,0.2357,1.3878e-16,-0,-0,0.2357,0.2357,-0,-0,0.2357,-0,-0,-0,-0,-0,-0,-0,0.2357,-0,-0,0.2357,0.2357,-0,-0,-0,0.2357,0.2357,-0,-0,0.2357,-0,-0,-0,-0
-0,-0,0.2357,-0,-0,-0,-0,-0,0.2357,-0,-0,0.2357,6.5688e-17,-0,-0,-0,-0,-1.2917e-22,-0,0.2357,-0,-0,0.2357,-0,-0,-0,-0,-0,0.2357,-0,-0,-6.8327e-15,-0,-0,-0,-0,-0,-0,-0,0.2357,-0,-0,0.2357,-0,-0,-0,-0,-0,0.2357,-0,-0,-0,-0,-0,-0,-0
-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,1.6536e-31,4.5598e-32,8.8457e-30,1.2321e-28,8.8457e-30,4.5597e-32,1.1754e-36,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,1.1754e-36,-1.2218e-32,6.2549e-30,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
-0,-0,-0.2357,-0,-0,-0,-0,-0,-0.2357,-0,-0,-0.2357,-6.5688e-17,-0,-0,-0,-0,1.2917e-22,-0,-0.2357,-0,-0,-0.2357,-0,-0,-0,-0,-0,-0.2357,-0,-0,6.8327e-15,-0,-0,-0,-0,-0,-0,-0,-0.2357,-0,-0,-0.2357,-0,-0,-0,-0,-0,-0.2357,-0,-0,-0,-0,-0,-0,-0
-0,-0,-0.2357,-0.2357,-0,-0,-0,-0.2357,-0.2357,-0,-0,-0.2357,-4.8609e-18,-4.5598e-32,-8.8457e-30,-1.2321e-28,-8.8457e-30,9.2734e-24,-1.2116e-36,-0.2357,-0,-0,-0.2357,-0.2357,-1.3878e-16,-0,-0,-0.2357,-0.2357,-0,-0,-0.2357,-1.1754e-36,1.2218e-32,-6.2549e-30,-0,-0,-0,-0,-0.2357,-0,-0,-0.2357,-0.2357,-0,-0,-0,-0.2357,-0.2357,-0,-0,-0.2357,-0,-0,-0,-0
-0.24254,-0,-0,-0.2357,-0.2357,-0.24254,-0.2357,-0.2357,-0,-0,-0.2357,-0,3.1771e-20,-0.24254,-0.24254,-0.24254,-0.24254,-0.24254,-0,-0,-0.2357,-0,-0,-0.2357,-0.90914,-0.91381,-0.90914,-0.2357,-0,-0,-0.2357,-0.2357,-0,-0,-0.17408,-0.17408,-0.24254,-0.24254,-0,-0,-0.2357,-0,-0,-0.2357,-0.2357,-0.24254,-0.2357,-0.2357,-0,-0,-0.2357,-0.2357,-0,-0,-0.24254,-0.24254
-0.19612,-0.2357,-0,-0,-0.24254,-0.24254,-0.24254,-0,-0,-0.2357,-0.2357,-0,-0.2357,-0.2357,-0.24254,-0.24254,-0.24254,-0.2357,-0.2357,-0,-0.2357,-0.2357,-0,-0,-0.7093,-0.91381,-0.7093,-0,-0,-0.2357,-0.2357,3.3095e-18,-0.24254,-0.2357,-0.1543,-0.17408,-0.24254,-0.2357,-0.2357,-0,-0.2357,-0.2357,-0,-0,-0.24254,-0.24254,-0.24254,-0,-0,-0.2357,-0.2357,-0,-0.24254,-0.2357,-0.2357,-0.2357
